[14:53:30] New map: rp_powerplant_v2b2



[17:51:06] Fat Gay revoked access "ulx notepad" to group Owner
[17:51:06] Fat Gay granted access "ulx playsound" to group Owner
[17:51:06] Fat Gay granted access "ulx notepad" to group Owner
[17:51:07] Fat Gay granted access "ulx ragdoll" to group Owner
[17:51:07] Fat Gay granted access "ulx removetrail" to group Owner
[17:51:08] Fat Gay granted access "ulx resetcolor" to group Owner
[17:51:08] Fat Gay granted access "ulx resetmaterial" to group Owner
[17:51:09] Fat Gay granted access "ulx scale" to group Owner
[17:51:10] Fat Gay granted access "ulx setammo" to group Owner
[17:51:10] Fat Gay granted access "ulx shock" to group Owner
[17:51:11] Fat Gay granted access "ulx slap" to group Owner
[17:51:11] Fat Gay granted access "ulx slay" to group Owner
[17:51:12] Fat Gay granted access "ulx speed" to group Owner
[17:51:12] Fat Gay granted access "ulx sslay" to group Owner
[17:51:12] Fat Gay granted access "ulx strip" to group Owner
[17:51:14] Fat Gay granted access "ulx trail" to group Owner
[17:51:14] Fat Gay granted access "ulx unblind" to group Owner
[17:51:14] Fat Gay granted access "ulx uncloak" to group Owner
[17:51:15] Fat Gay granted access "ulx unfreeze" to group Owner
[17:51:15] Fat Gay granted access "ulx ungod" to group Owner
[17:51:15] Fat Gay granted access "ulx unignite" to group Owner
[17:51:16] Fat Gay granted access "ulx unigniteall" to group Owner
[17:51:16] Fat Gay revoked access "ulx unigniteall" to group Owner
[17:51:17] Fat Gay granted access "ulx unragdoll" to group Owner
[17:51:17] Fat Gay granted access "ulx unjail" to group Owner
[17:51:17] Fat Gay granted access "ulx unigniteall" to group Owner
[17:51:19] Fat Gay granted access "ulx whip" to group Owner
[17:51:22] Fat Gay granted access "ulx url" to group Owner
[17:51:22] Fat Gay granted access "ulx surl" to group Owner
[17:51:23] Fat Gay granted access "ulx ssendlua" to group Owner
[17:51:23] Fat Gay granted access "ulx srunscriptcl" to group Owner
[17:51:23] Fat Gay granted access "ulx srunscript" to group Owner
[17:51:24] Fat Gay granted access "ulx sendlua" to group Owner
[17:51:24] Fat Gay granted access "ulx runscriptcl" to group Owner
[17:51:24] Fat Gay revoked access "ulx runscriptcl" to group Owner
[17:51:25] Fat Gay granted access "ulx sconvar" to group Owner
[17:51:25] Fat Gay granted access "ulx runscriptcl" to group Owner
[17:51:27] Fat Gay granted access "ulx runscript" to group Owner
[17:51:27] Fat Gay granted access "ulx removehookcl" to group Owner
[17:51:28] Fat Gay granted access "ulx rcon" to group Owner
[17:51:28] Fat Gay granted access "ulx printhooks" to group Owner
[17:51:29] Fat Gay revoked access "ulx rcon" to group Owner
[17:51:30] Fat Gay granted access "ulx rcon" to group Owner
[17:51:31] Fat Gay granted access "ulx removehook" to group Owner
[17:51:31] Fat Gay granted access "ulx luarun" to group Owner
[17:51:32] Fat Gay granted access "ulx hook" to group Owner
[17:51:32] Fat Gay granted access "ulx exec" to group Owner
[17:51:34] Fat Gay granted access "ulx ent" to group Owner
[17:51:34] Fat Gay granted access "ulx convar" to group Owner
[17:51:34] Fat Gay granted access "ulx cexec" to group Owner
[17:51:36] Fat Gay granted access "reportadminmenu" to group Owner
[17:51:38] Fat Gay granted access "ulx bring" to group Owner
[17:51:38] Fat Gay granted access "ulx fbring" to group Owner
[17:51:38] Fat Gay granted access "ulx fteleport" to group Owner
[17:51:39] Fat Gay granted access "ulx goto" to group Owner
[17:51:39] Fat Gay granted access "ulx return" to group Owner
[17:51:40] Fat Gay granted access "ulx send" to group Owner
[17:51:40] Fat Gay granted access "ulx setwarp" to group Owner
[17:51:40] Fat Gay granted access "ulx teleport" to group Owner
[17:51:41] Fat Gay granted access "ulx warp" to group Owner
[17:51:42] Fat Gay granted access "ulx addgroup" to group Owner
[17:51:43] Fat Gay granted access "ulx adduser" to group Owner
[17:51:43] Fat Gay granted access "ulx adduserid" to group Owner
[17:51:44] Fat Gay revoked access "ulx adduserid" to group Owner
[17:51:44] Fat Gay granted access "ulx groupallow" to group Owner
[17:51:45] Fat Gay granted access "ulx adduserid" to group Owner
[17:51:45] Fat Gay granted access "ulx groupdeny" to group Owner
[17:51:46] Fat Gay granted access "ulx removegroup" to group Owner
[17:51:47] Fat Gay granted access "ulx removeuserid" to group Owner
[17:51:47] Fat Gay granted access "ulx removeuser" to group Owner
[17:51:47] Fat Gay granted access "ulx renamegroup" to group Owner
[17:51:49] Fat Gay granted access "ulx setgroupcantarget" to group Owner
[17:51:49] Fat Gay granted access "ulx userallow" to group Owner
[17:51:49] Fat Gay granted access "ulx userallowid" to group Owner
[17:51:50] Fat Gay granted access "ulx userdeny" to group Owner
[17:51:50] Fat Gay granted access "ulx userdenyid" to group Owner
[17:51:52] Fat Gay granted access "ulx administrate" to group Owner
[17:51:53] Fat Gay granted access "ulx ban" to group Owner
[17:51:53] Fat Gay granted access "ulx bancheck" to group Owner
[17:51:54] Fat Gay granted access "ulx banid" to group Owner
[17:51:54] Fat Gay granted access "ulx bot" to group Owner
[17:51:55] Fat Gay granted access "ulx banip" to group Owner
[17:51:55] Fat Gay granted access "ulx cancelcmd" to group Owner
[17:51:56] Fat Gay granted access "ulx cleardecals" to group Owner
[17:51:56] Fat Gay granted access "ulx crash" to group Owner
[17:51:57] Fat Gay granted access "ulx dban" to group Owner
[17:51:58] Fat Gay granted access "ulx enter" to group Owner
[17:51:58] Fat Gay granted access "ulx exit" to group Owner
[17:51:59] Fat Gay granted access "ulx forcerespawn" to group Owner
[17:51:59] Fat Gay granted access "ulx friends" to group Owner
[17:52:01] Fat Gay granted access "ulx getcommandtable" to group Owner
[17:52:01] Fat Gay granted access "ulx gethooktable" to group Owner
[17:52:01] Fat Gay granted access "ulx give" to group Owner
[17:52:01] Fat Gay granted access "ulx hide" to group Owner
[17:52:02] Fat Gay granted access "ulx ip" to group Owner
[17:52:02] Fat Gay granted access "ulx kick" to group Owner
[17:52:03] Fat Gay granted access "ulx kickbots" to group Owner
[17:52:03] Fat Gay granted access "ulx map" to group Owner
[17:52:04] Fat Gay granted access "ulx maprestart" to group Owner
[17:52:04] Fat Gay granted access "ulx multiban" to group Owner
[17:52:04] Fat Gay granted access "ulx noclip" to group Owner
[17:52:06] Fat Gay granted access "ulx removeragdolls" to group Owner
[17:52:06] Fat Gay granted access "ulx resetmap" to group Owner
[17:52:07] Fat Gay granted access "ulx resettimescale" to group Owner
[17:52:07] Fat Gay granted access "ulx sban" to group Owner
[17:52:07] Fat Gay granted access "ulx scrash" to group Owner
[17:52:08] Fat Gay granted access "ulx serverinfo" to group Owner
[17:52:08] Fat Gay granted access "ulx sgive" to group Owner
[17:52:08] Fat Gay granted access "ulx spectate" to group Owner
[17:52:10] Fat Gay granted access "ulx stopsounds" to group Owner
[17:52:10] Fat Gay granted access "ulx timedcmd" to group Owner
[17:52:11] Fat Gay granted access "ulx timescale" to group Owner
[17:52:11] Fat Gay granted access "ulx unadministrate" to group Owner
[17:52:12] Fat Gay granted access "ulx unban" to group Owner
[17:52:12] Fat Gay granted access "ulx unbanip" to group Owner
[17:52:13] Fat Gay granted access "ulx unwatch" to group Owner
[17:52:14] Fat Gay granted access "ulx watch" to group Owner
[17:52:14] Fat Gay granted access "ulx watchlist" to group Owner
[17:52:16] Fat Gay granted access "ulx votemap2" to group Owner
[17:52:17] Fat Gay granted access "ulx votekick" to group Owner
[17:52:17] Fat Gay granted access "ulx voteban" to group Owner
[17:52:17] Fat Gay granted access "ulx vote" to group Owner
[17:52:18] Fat Gay granted access "ulx veto" to group Owner
[17:52:19] Fat Gay granted access "ulx unvotegag" to group Owner
[17:52:19] Fat Gay granted access "ulx unvotemute" to group Owner
[17:52:19] Security Soal: // Time to starve....IN HELL!
[17:52:19] Fat Gay granted access "ulx stopvote" to group Owner
[17:52:22] Fat Gay granted access "ulx chattime" to group Owner
[17:52:23] Fat Gay granted access "ulx kickafternamechanges" to group Owner
[17:52:23] Fat Gay granted access "ulx kickafternamechangescooldown" to group Owner
[17:52:23] Fat Gay granted access "ulx kickafternamechangeswarning" to group Owner
[17:52:24] Fat Gay granted access "ulx logchat" to group Owner
[17:52:24] Fat Gay granted access "ulx logdir" to group Owner
[17:52:25] Fat Gay granted access "ulx logecho" to group Owner
[17:52:25] Security Soal was killed by trigger_hurt
[17:52:25] Fat Gay granted access "ulx logechocolorconsole" to group Owner
[17:52:25] Fat Gay granted access "ulx logechocolordefault" to group Owner
[17:52:26] Fat Gay revoked access "ulx logechocolordefault" to group Owner
[17:52:26] Fat Gay granted access "ulx logechocoloreveryone" to group Owner
[17:52:26] Fat Gay granted access "ulx logechocolormisc" to group Owner
[17:52:27] Fat Gay granted access "ulx logechocolordefault" to group Owner
[17:52:27] Fat Gay granted access "ulx logechocolorplayer" to group Owner
[17:52:28] Fat Gay granted access "ulx logechocolorplayerasgroup" to group Owner
[17:52:28] Fat Gay granted access "ulx logechocolors" to group Owner
[17:52:29] Fat Gay granted access "ulx logechocolorself" to group Owner
[17:52:30] Fat Gay granted access "ulx logevents" to group Owner
[17:52:30] Fat Gay granted access "ulx logfile" to group Owner
[17:52:32] Fat Gay granted access "ulx logjoinleaveecho" to group Owner
[17:52:33] Fat Gay granted access "ulx logspawns" to group Owner
[17:52:33] Fat Gay granted access "ulx logspawnsecho" to group Owner
[17:52:33] Fat Gay granted access "ulx mechatenabled" to group Owner
[17:52:34] Fat Gay granted access "ulx motdfile" to group Owner
[17:52:34] Fat Gay granted access "ulx motdurl" to group Owner
[17:52:35] Fat Gay granted access "ulx rslots" to group Owner
[17:52:35] Fat Gay granted access "ulx rslotsmode" to group Owner
[17:52:36] Fat Gay granted access "ulx showmotd" to group Owner
[17:52:36] Fat Gay granted access "ulx votebansuccessratio" to group Owner
[17:52:37] Fat Gay revoked access "ulx votebansuccessratio" to group Owner
[17:52:37] Fat Gay granted access "ulx voteecho" to group Owner
[17:52:38] Fat Gay granted access "ulx votegagminvotes" to group Owner
[17:52:38] Fat Gay granted access "ulx votegagsuccessratio" to group Owner
[17:52:39] Fat Gay granted access "ulx votebansuccessratio" to group Owner
[17:52:39] Fat Gay granted access "ulx votebanminvotes" to group Owner
[17:52:39] Fat Gay granted access "ulx rslotsvisible" to group Owner
[17:52:41] Fat Gay granted access "ulx votekickminvotes" to group Owner
[17:52:41] Fat Gay granted access "ulx votekicksuccessratio" to group Owner
[17:52:41] Fat Gay granted access "ulx votemap2minvotes" to group Owner
[17:52:42] Fat Gay granted access "ulx votemapenabled" to group Owner
[17:52:42] Fat Gay revoked access "ulx votemapenabled" to group Owner
[17:52:43] Fat Gay granted access "ulx votemap2successratio" to group Owner
[17:52:43] Fat Gay granted access "ulx votemapenabled" to group Owner
[17:52:43] Fat Gay granted access "ulx votemapmapmode" to group Owner
[17:52:44] Fat Gay granted access "ulx votemapmintime" to group Owner
[17:52:44] Fat Gay granted access "ulx votemapminvotes" to group Owner
[17:52:44] Fat Gay granted access "ulx votemapsuccessratio" to group Owner
[17:52:44] Fat Gay granted access "ulx votemapvetotime" to group Owner
[17:52:45] Fat Gay granted access "ulx votemapwaittime" to group Owner
[17:52:45] Fat Gay granted access "ulx votemuteminvotes" to group Owner
[17:52:46] Fat Gay granted access "ulx welcomemessage" to group Owner
[17:52:47] Fat Gay granted access "ulx votemutesuccessratio" to group Owner
[17:52:49] Fat Gay granted access "ulx spawnecho" to group Owner
[17:52:49] Fat Gay granted access "ulx seesasay" to group Owner
[17:52:49] Fat Gay granted access "ulx seeasay" to group Owner
[17:52:50] Fat Gay granted access "ulx seeanonymousechoes" to group Owner
[17:52:50] Fat Gay granted access "ulx physgunplayer" to group Owner
[17:52:50] Fat Gay granted access "ulx hiddenecho" to group Owner
[17:52:51] Fat Gay granted access "ulx reservedslots" to group Owner
[17:52:53] Fat Gay granted access "suggestions_status" to group Owner
[17:52:53] Fat Gay granted access "suggestions_remove" to group Owner
[17:52:54] Fat Gay granted access "suggestions_edit" to group Owner
[17:52:54] Fat Gay granted access "suggestions_approve" to group Owner
[17:52:55] Fat Gay granted access "suggestions_no_approve" to group Owner
[17:52:57] Fat Gay granted access "ulx wckcontroller" to group Owner
[17:52:58] Fat Gay granted access "xgui_gmsettings" to group Owner
[17:52:59] Fat Gay granted access "xgui_managebans" to group Owner
[17:52:59] Fat Gay granted access "xgui_managegroups" to group Owner
[17:53:00] Fat Gay granted access "xgui_svsettings" to group Owner
[17:53:00] Fat Gay granted access "xgui_utime" to group Owner
[17:53:05] Fat Gay added Fat Gay to group Owner
[17:53:11] Fat Gay: !goto roa
[17:53:14] Fat Gay: !goto so
[17:53:14] Fat Gay teleported to Security Soal
[17:56:38] Researcher Ramsay suicided!
[17:57:10] Fat Gay: !menu
[17:57:21] Fat Gay removed all access rights from Researcher Ramsay
[18:03:39] Client "Valien" connected.
[18:04:53] Client "Valien" spawned in server <STEAM_0:1:41660292> (took 74 seconds).
[18:05:04] Researcher Ramsay: /ooc why am I user now?
[18:05:08] Fat Gay suicided!
[18:15:27] Dropped "Researcher Ramsay" from server<STEAM_0:0:98564878>
[18:17:06] Security Soal: // Everything good?
[18:18:47] Security Soal was killed by trigger_hurt
[18:18:59] Server is shutting down/changing levels.



[18:54:17] New map: rp_powerplant_v2b2



[19:03:27] New map: rp_powerplant_v2b2
[19:13:53] Client "Fat Gay" connected.
[19:14:35] Client "Fat Gay" spawned in server <STEAM_0:1:218173703> (took 42 seconds).
[19:23:39] Fat Gay: !menu
[19:24:57] Client "Wolves Mercy" connected.
[19:34:23] Fat Gay: /hlogs
[19:36:45] Fat Gay suicided!
[19:40:50] (TEAM) Fat Gay: !explode ^
[19:40:50] Fat Gay suicided!
[19:40:50] Fat Gay exploded Themself
[19:41:31] Fat Gay: !spectate
[19:55:01] Client "Krallik" connected.
[19:56:58] Client "Wolves Mercy" connected.
[19:58:01] Client "Wolves Mercy" spawned in server <STEAM_0:0:86025114> (took 63 seconds).
[19:58:21] Client "Krallik" spawned in server <STEAM_0:1:29147234> (took 200 seconds).
[20:02:56] Fat Gay suicided!
[20:03:17] Dropped "Krallik" from server<STEAM_0:1:29147234>
[20:06:01] Fat Gay: !spectate soal
[20:09:54] Client "anjnevin" connected.
[20:12:10] Client "anjnevin" spawned in server <STEAM_0:1:197444050> (took 136 seconds).
[20:12:35] Dropped "anjnevin" from server<STEAM_0:1:197444050>
[20:12:35] Client "anjnevin" connected.
[20:18:33] Dropped "Security Soal" from server<STEAM_0:0:86025114>
