Wed Sep 26 02:51:26 2018	CandyCrushGod6969 was killed by Entity [2713][func_rotating] with a func_rotating
Wed Sep 26 02:51:28 2018	CandyCrushGod6969 (STEAM_0:1:91516512) spawned
Wed Sep 26 02:52:59 2018	LethalDumpster (STEAM_0:1:101135062) spawned
Wed Sep 26 02:55:21 2018	CandyCrushGod6969 was killed by LethalDumpster with a weapon_l4d2_frying_pan
Wed Sep 26 02:55:21 2018	CandyCrushGod6969 (STEAM_0:1:91516512) spawned
Wed Sep 26 02:55:52 2018	LethalDumpster was killed by Entity [2261][trigger_hurt] with a trigger_hurt
Wed Sep 26 02:55:53 2018	LethalDumpster (STEAM_0:1:101135062) spawned
Wed Sep 26 02:58:43 2018	LethalDumpster was killed by CandyCrushGod6969 with a weapon_l4d2_frying_pan
Wed Sep 26 02:58:44 2018	LethalDumpster (STEAM_0:1:101135062) spawned
Wed Sep 26 03:01:37 2018	CandyCrushGod6969 was killed by LethalDumpster with a weapon_l4d2_frying_pan
Wed Sep 26 03:01:39 2018	CandyCrushGod6969 (STEAM_0:1:91516512) spawned
Wed Sep 26 03:03:48 2018	LethalDumpster was killed by CandyCrushGod6969 with a weapon_l4d2_frying_pan
Wed Sep 26 03:03:48 2018	LethalDumpster (STEAM_0:1:101135062) spawned
Wed Sep 26 03:04:29 2018	LethalDumpster (STEAM_0:1:101135062) spawned
Wed Sep 26 03:05:31 2018	LethalDumpster (STEAM_0:1:101135062) spawned
Wed Sep 26 03:05:47 2018	LethalDumpster (STEAM_0:1:101135062) spawned
Wed Sep 26 03:08:48 2018	CandyCrushGod6969 was killed by LethalDumpster with a cw_l85a2
Wed Sep 26 03:08:49 2018	CandyCrushGod6969 (STEAM_0:1:91516512) spawned
Wed Sep 26 03:08:59 2018	LethalDumpster was killed by Entity [3210][trigger_hurt] with a trigger_hurt
Wed Sep 26 03:09:00 2018	LethalDumpster (STEAM_0:1:101135062) spawned
Wed Sep 26 03:09:12 2018	LethalDumpster (STEAM_0:1:101135062) spawned
Wed Sep 26 03:10:16 2018	CandyCrushGod6969 was killed by Entity [3210][trigger_hurt] with a trigger_hurt
Wed Sep 26 03:10:17 2018	CandyCrushGod6969 (STEAM_0:1:91516512) spawned
Wed Sep 26 03:10:32 2018	LethalDumpster was killed by Entity [3210][trigger_hurt] with a trigger_hurt
Wed Sep 26 03:10:33 2018	LethalDumpster (STEAM_0:1:101135062) spawned
Wed Sep 26 03:11:17 2018	LethalDumpster (STEAM_0:1:101135062) spawned
Wed Sep 26 03:11:54 2018	LethalDumpster (STEAM_0:1:101135062) spawned
Wed Sep 26 03:11:58 2018	CandyCrushGod6969 was killed by Entity [3210][trigger_hurt] with a trigger_hurt
Wed Sep 26 03:11:59 2018	CandyCrushGod6969 (STEAM_0:1:91516512) spawned
Wed Sep 26 03:14:10 2018	CandyCrushGod6969 was killed by LethalDumpster with a weapon_l4d2_frying_pan
Wed Sep 26 03:14:11 2018	CandyCrushGod6969 (STEAM_0:1:91516512) spawned
Wed Sep 26 03:15:11 2018	LethalDumpster was killed by Entity [3210][trigger_hurt] with a trigger_hurt
Wed Sep 26 03:15:12 2018	LethalDumpster (STEAM_0:1:101135062) spawned
Wed Sep 26 03:17:18 2018	LethalDumpster (STEAM_0:1:101135062) spawned
Wed Sep 26 03:17:47 2018	LethalDumpster (STEAM_0:1:101135062) spawned
Wed Sep 26 03:18:28 2018	CandyCrushGod6969 (STEAM_0:1:91516512) disconnected
Wed Sep 26 03:20:09 2018	CandyCrushGod6969 (STEAM_0:1:91516512) has joined the game
Wed Sep 26 03:20:09 2018	CandyCrushGod6969 (STEAM_0:1:91516512) spawned
Wed Sep 26 03:20:27 2018	LethalDumpster (STEAM_0:1:101135062) spawned
Wed Sep 26 03:20:59 2018	CandyCrushGod6969 (STEAM_0:1:91516512) spawned
Wed Sep 26 03:21:13 2018	CandyCrushGod6969 (STEAM_0:1:91516512) spawned
Wed Sep 26 03:21:15 2018	LethalDumpster (STEAM_0:1:101135062) spawned
Wed Sep 26 03:23:48 2018	LethalDumpster was killed by Entity [2255][trigger_hurt] with a trigger_hurt
Wed Sep 26 03:23:48 2018	LethalDumpster (STEAM_0:1:101135062) spawned
Wed Sep 26 03:25:04 2018	LethalDumpster was killed by Entity [2263][trigger_hurt] with a trigger_hurt
Wed Sep 26 03:25:05 2018	CandyCrushGod6969 was killed by Entity [2263][trigger_hurt] with a trigger_hurt
Wed Sep 26 03:25:07 2018	CandyCrushGod6969 (STEAM_0:1:91516512) spawned
Wed Sep 26 03:25:09 2018	LethalDumpster (STEAM_0:1:101135062) spawned
Wed Sep 26 03:26:51 2018	LethalDumpster was killed by CandyCrushGod6969 with a weapon_l4d2_frying_pan
